TIPO LINEA;TIPO;LETRA;NUMERO FORMATEADO;FECHA;CAEA NRO;CAEA VTO;COD CLIENTE;CUIT;RAZON SOCIAL;RESUMEN;TIPO PEDIDO;CODIGO BARRA;DESCRIPCION;PCIO VTA PUB;BASE EXCENTA+GRAVADO;IVA;OTROS IMPUESTOS;IMPORTE TOTAL;UNIDADES;LINEAS;CLASIF PRODUCTO;LABORATORIO;CONDICION IVA;PORC IVA;PCIO UNITARIO
Detalle;NC;A;1114-00864976;;;;;;;;;7795337901290;OMMUNAL SOBRES X30 NIÑOS;;-104359.26;0;-1565.39;-105924.65;-2;;Eticos;GLOBALFARM (TEMIS-LOSTALO);Producto Exento;0;52179.63
Detalle;NC;A;1114-00864976;;;;;;;;;7795326209550;HIPREX MAX 5/160MG COM.RE X28;;-41667.72;0;-625.02;-42292.74;-2;;Eticos;DISPROFARMA SA (TEVA);Producto Exento;0;20833.86
Detalle;NC;A;1114-00864976;;;;;;;;;7795326010958;JALORESE 10MG COM.RE X28;;-54570.77;0;-818.56;-55389.33;-2;;Eticos;DISPROFARMA SA (TEVA);Producto Exento;0;27285.385
Detalle;NC;A;1114-00864976;;;;;;;;;7795347939436;NEBLIC 500MG COMPR. X6;;-21941.79;0;-329.13;-22270.92;-3;;Eticos;LAZAR;Producto Exento;0;7313.93
Detalle;NC;A;1114-00864976;;;;;;;;;7791171100356;BIFORT 50MG COM.RE X2;;-16535.79;0;-248.04;-16783.83;-8;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;2066.97375
Detalle;NC;A;1114-00864976;;;;;;;;;7795328052703;DOSODOS GOTAS X15ML;;-8595.76;0;-128.94;-8724.7;-1;;Eticos;DISPROFARMA SA (BETA);Producto Exento;0;8595.76
Detalle;NC;A;1114-00864976;;;;;;;;;7798129413988;SINTROM 4MG COMPR. X20;;-14462.66;0;-216.94;-14679.6;-1;;Eticos;ROFINA SACIF (SIEGFRIED);Producto Exento;0;14462.66
Detalle;NC;A;1114-00864976;;;;;;;;;7796285286491;FALGOS COMPR. X12;;-902824.56;0;-13542.37;-916366.93;-317;;O. T. C.;DISPROFARMA CC (ELEA);Producto Exento;0;2848.027
Detalle;NC;A;1114-00864976;;;;;;;;;7791171100332;BIFORT 100MG COM.RE X4;;-4640.92;0;-69.61;-4710.53;-1;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;4640.92
Detalle;NC;A;1114-00864976;;;;;;;;;7791909316752;EXPLANER 60MG COM.RE X60;;-23150.25;0;-347.25;-23497.5;-1;;Eticos;FARMANET S A (CASASCO);Producto Exento;0;23150.25
Detalle;NC;A;1114-00864976;;;;;;;;;7791909316448;EXPLANER 60MG COM.RE X30;;-28664.82;0;-429.97;-29094.79;-2;;Eticos;FARMANET S A (CASASCO);Producto Exento;0;14332.41
Detalle;NC;A;1114-00864976;;;;;;;;;7790375251932;TRIFAMOX BRONQUIAL DUO COMPR. X14;;-34628.94;0;-519.43;-35148.37;-4;;Eticos;DISPROFARMA CC (BAGO);Producto Exento;0;8657.235
Detalle;NC;A;1114-00864976;;;;;;;;;7792175005067;VORST 25MG COM.RE X6;;-44733.25;0;-671;-45404.25;-8;;Eticos;MICROSULES BERNABO;Producto Exento;0;5591.65625
Detalle;NC;A;1114-00864976;;;;;;;;;7798137190277;LUMICLAR FRA.GO X10ML;;-26329.06;0;-394.94;-26724;-2;;Eticos;ROFINA SACIF (MAX VISION);Producto Exento;0;13164.53
Detalle;NC;A;1114-00864976;;;;;;;;;7798376720341;NOVASONE CREMA X15G;;-62432.89;0;-936.49;-63369.38;-4;;Eticos;GLOBALFARM (ORGANON);Producto Exento;0;15608.2225
Detalle;NC;A;1114-00864976;;;;;;;;;7795347936237;LIPONORM 10MG COMPR. X60;;-67281.9;0;-1009.23;-68291.13;-3;;Eticos;LAZAR;Producto Exento;0;22427.3
